ESNTL_ID,LCLAS_NM,MLSFC_NM,FCLTY_NM,CTPRVN_CD,CTPRVN_NM,SIGNGU_CD,SIGNGU_NM,LEGALDONG_CD,LEGALDONG_NM,ROAD_NM_CD,FCLTY_ROAD_NM_ADDR,LNM_ADDR,ADDR_ENG_NM,ADSTRD_CD,BULD_NM,BULD_MANAGE_CD,TEL_NO,ZIP_NO,HMPG_URL,FCLTY_LA,FCLTY_LO,ORIGIN_NM,ADIT_DC,UPDT_DT,REGIST_DT
KCDCIO22N000000024,문화시설,문화시설_보호구역,금곡리 경로당,47,경상북도,47250,상주시,4725025034,금곡리,4.72503E+11,경상북도 상주시 함창읍 봉황로 367,경상북도 상주시 함창읍 금곡리 422,"367 Bonghwang-ro, Hamchang-eup, Sangju-si, Gyeongsangbuk-do",4725025034,,4.72503E+24,054-537-7548,37121,,36.5255737,128.2153170,공공데이터,,20230207,20230207
KCDCIO22N000000025,문화시설,문화시설_보호구역,신흥3리 경로당,47,경상북도,47250,상주시,4725025032,신흥리,4.72503E+11,경상북도 상주시 함창읍 용곡로 257,경상북도 상주시 함창읍 신흥리 628-6,"257 Yonggok-ro, Hamchang-eup, Sangju-si, Gyeongsangbuk-do",4725025032,,4.72503E+24,054-537-7548,37121,,36.5415904,128.1842050,공공데이터,,20230207,20230207
KCDCIO22N000000026,문화시설,문화시설_보호구역,부여효요양원,45,충청남도,45700,부여군,4476044024,증산리,4.47603E+11,충청남도 부여군 석성면 왕릉로 773,충청남도 부여군 석성면 증산리 723-8,"773 Wangneung-ro, Seokseong-myeon, Buyeo-gun, Chungcheongnam-do",4476044024,,4.47604E+24,041-830-2358,33176,,36.2486814,127.0076190,공공데이터,,20230207,20230207
KCDCIO22N000000027,문화시설,문화시설_보호구역,석동3리 노인회관,45,충청남도,45700,부여군,4476042027,석동리,4.47605E+11,충청남도 부여군 장암면 의자로돌모루2길 34,충청남도 부여군 장암면 석동리 288,"34 Uija-ro dolmoru 2-gil, Jangam-myeon, Buyeo-gun, Chungcheongnam-do",4476042027,,4.47604E+24,041-830-2358,33183,,36.2489214,126.8895223,공공데이터,,20230207,20230207
KCDCIO22N000000028,문화시설,문화시설_보호구역,마정1리 노인회관,45,충청남도,45700,부여군,4476038022,마정리,4.47603E+11,충청남도 부여군 남면 마정로 164,충청남도 부여군 남면 마정리 72-1,"164 Majeong-ro, Nam-myeon, Buyeo-gun, Chungcheongnam-do",4476038022,,4.47604E+24,041-830-2358,33210,,36.2256890,126.8523334,공공데이터,,20230207,20230207
KCDCIO22N000000029,문화시설,문화시설_보호구역,마정2리 노인회관,45,충청남도,45700,부여군,4476038022,마정리,4.47603E+11,충청남도 부여군 남면 마정로 96,충청남도 부여군 남면 마정리 225-2,"96 Majeong-ro, Nam-myeon, Buyeo-gun, Chungcheongnam-do",4476038022,,4.47604E+24,041-830-2358,33210,,36.2202812,126.8487761,공공데이터,,20230207,20230207
KCDCIO22N000000030,문화시설,문화시설_보호구역,매호2리 노인회관,47,경상북도,47250,상주시,4725032529,매협리,4.72503E+11,경상북도 상주시 사벌국면 상풍로 984,경상북도 상주시 사벌국면 매협리 735-1,"984 Sangpung-ro, Sabeolgung-myeon, Sangju-si, Gyeongsangbuk-do",4725032529,,4.72503E+24,054-537-7548,37126,,36.4919141,128.2552726,공공데이터,,20230207,20230207
KCDCIO22N000000031,문화시설,문화시설_보호구역,승곡리 노인회관,47,경상북도,47250,상주시,4725033032,승곡리,4.72503E+11,경상북도 상주시 낙동면 선상서로 1983,경상북도 상주시 낙동면 승곡리 137-3,"1983 Seonsangseo-ro, Nakdong-myeon, Sangju-si, Gyeongsangbuk-do",4725033032,,4.72503E+24,054-537-7548,37252,,36.3611623,128.2266086,공공데이터,,20230207,20230207
KCDCIO22N000000032,문화시설,문화시설_보호구역,청하2리 노인회관,47,경상북도,47250,상주시,4725034023,청하리,4.72503E+11,경상북도 상주시 청리면 수선로 93,경상북도 상주시 청리면 청하리 560,"93 Suseon-ro, Cheongni-myeon, Sangju-si, Gyeongsangbuk-do",4725034023,,4.72503E+24,054-537-7548,37256,,36.3297480,128.1338193,공공데이터,,20230207,20230207
KCDCIO22N000000033,문화시설,문화시설_보호구역,소은2리 노인회관,47,경상북도,47250,상주시,4725036027,소은리,4.72503E+11,경상북도 상주시 외남면 석단로 1193,경상북도 상주시 외남면 소은리 221-2,"1193 Seokdan-ro, Oenam-myeon, Sangju-si, Gyeongsangbuk-do",4725036027,,4.72504E+24,054-537-7548,37259,,36.3722680,128.1080891,공공데이터,,20230207,20230207
KCDCIO22N000000034,문화시설,문화시설_보호구역,평지2리 노인회관,47,경상북도,47250,상주시,4725037028,평지리,4.72503E+11,경상북도 상주시 내서면 영남제일로 2883-3,경상북도 상주시 내서면 평지리 68,"2883-3 Yeongnamjeil-ro, Naeseo-myeon, Sangju-si, Gyeongsangbuk-do",4725037028,,4.72504E+24,054-537-7548,37150,,36.3965464,128.0464151,공공데이터,,20230207,20230207
KCDCIO22N000000035,문화시설,문화시설_보호구역,득수2리 노인회관,47,경상북도,47250,상주시,4725039029,득수리,4.72503E+11,경상북도 상주시 모서면 백화로 802,경상북도 상주시 모서면 득수리 184-3,"802 Baekhwa-ro, Moseo-myeon, Sangju-si, Gyeongsangbuk-do",4725039029,,4.72504E+24,054-537-7548,37276,,36.3352660,127.9024831,공공데이터,,20230207,20230207
KCDCIO22N000000036,문화시설,문화시설_보호구역,장암2리 노인회관,47,경상북도,47250,상주시,4725042022,장암리,4.72505E+11,경상북도 상주시 화북면 장암늘티1길 2,경상북도 상주시 화북면 장암리 785-1,"2 Jangamneulti 1-gil, Hwabuk-myeon, Sangju-si, Gyeongsangbuk-do",4725042022,,4.72504E+24,054-537-7548,37101,,36.5853672,127.9049437,공공데이터,,20230207,20230207
KCDCIO22N000000037,문화시설,문화시설_보호구역,우산1리 노인회관,47,경상북도,47250,상주시,4725043029,우산리,4.72503E+11,경상북도 상주시 외서면 우산로 996,경상북도 상주시 외서면 우산리 50-6,"996 Usan-ro, Oeseo-myeon, Sangju-si, Gyeongsangbuk-do",4725043029,,4.72504E+24,054-537-7548,37134,,36.4883530,128.0711642,공공데이터,,20230207,20230207
KCDCIO22N000000038,문화시설,문화시설_보호구역,아천1리 노인회관,47,경상북도,47250,상주시,4725046026,아천리,4.72503E+11,경상북도 상주시 이안면 무운로 1035-4,경상북도 상주시 이안면 아천리 255,"1035-4 Muun-ro, Ian-myeon, Sangju-si, Gyeongsangbuk-do",4725046026,,4.72505E+24,054-537-7548,37106,,36.5619523,128.1046935,공공데이터,,20230207,20230207
KCDCIO22N000000039,문화시설,문화시설_보호구역,상주시 노인회관,47,경상북도,47250,상주시,4725010700,,4.72505E+11,경상북도 상주시 상서문3길 127(남성동),경상북도 상주시 남성동 14-5,"127 Sangseomun 3-gil, Sangju-si, Gyeongsangbuk-do",4725010700,,4.72501E+24,054-537-7548,37197,,36.4145871,128.1584320,공공데이터,,20230207,20230207
KCDCIO22N000000040,문화시설,문화시설_보호구역,인평동 노인회관,47,경상북도,47250,상주시,4725011900,,4.72503E+11,경상북도 상주시 선상서로 2669(인평동),경상북도 상주시 인평동 160-3,"2669 Seonsangseo-ro, Sangju-si, Gyeongsangbuk-do",4725011900,,4.72501E+24,054-537-7548,37243,,36.3949210,128.1722517,공공데이터,,20230207,20230207
KCDCIO22N000000041,문화시설,문화시설_보호구역,낙동 신오 노인회관,47,경상북도,47250,상주시,4725033036,신오리,4.72503E+11,경상북도 상주시 낙동면 선상서로 1425,경상북도 상주시 낙동면 신오리 209,"1425 Seonsangseo-ro, Nakdong-myeon, Sangju-si, Gyeongsangbuk-do",4725033036,,4.72503E+24,054-537-7548,37253,,36.3179320,128.2176152,공공데이터,,20230207,20230207
KCDCIO22N000000042,문화시설,문화시설_보호구역,외서 가곡 노인회관,47,경상북도,47250,상주시,4725043027,가곡리,4.72505E+11,경상북도 상주시 외서면 가곡4길 34,경상북도 상주시 외서면 가곡리 561-4,"34 Gagok 4-gil, Oeseo-myeon, Sangju-si, Gyeongsangbuk-do",4725043027,,4.72504E+24,054-537-7548,37135,,36.4840508,128.0924587,공공데이터,,20230207,20230207
KCDCIO22N000000043,문화시설,문화시설_보호구역,화동 이소1리 노인회관,47,경상북도,47250,상주시,4725040021,이소리,4.72505E+11,경상북도 상주시 화동면 이소3길 11,경상북도 상주시 화동면 이소리 430,"11 Iso 3-gil, Hwadong-myeon, Sangju-si, Gyeongsangbuk-do",4725040021,,4.72504E+24,054-537-7548,37146,,36.3879653,127.9500985,공공데이터,,20230207,20230207
KCDCIO22N000000044,문화시설,문화시설_보호구역,황령2리 경로당,47,경상북도,47250,상주시,4725044029,황령리,4.72505E+11,경상북도 상주시 은척면 황령길 56-3,경상북도 상주시 은척면 황령리 783-1,"56-3 Hwangnyeong-gil, Euncheok-myeon, Sangju-si, Gyeongsangbuk-do",4725044029,,4.72504E+24,054-537-7548,37103,,36.5278076,128.0040040,공공데이터,,20230207,20230207
KCDCIO22N000000045,문화시설,문화시설_보호구역,입석2리(장담) 경로당,47,경상북도,47250,상주시,4725042024,입석리,4.72503E+11,경상북도 상주시 화북면 문장로 2829,경상북도 상주시 화북면 입석리 89,"2829 Munjang-ro, Hwabuk-myeon, Sangju-si, Gyeongsangbuk-do",4725042024,,4.72504E+24,054-537-7548,37101,,36.6528170,127.8788040,공공데이터,,20230207,20230207
KCDCIO22N000000046,문화시설,문화시설_보호구역,평천1리(빙고개) 경로당,47,경상북도,47250,상주시,4725035028,평천리,4.72503E+11,경상북도 상주시 공성면 상무로 154,경상북도 상주시 공성면 평천리 1055-44,"154 Sangmu-ro, Gongseong-myeon, Sangju-si, Gyeongsangbuk-do",4725035028,,4.72504E+24,054-537-7548,37264,,36.2856570,128.1159610,공공데이터,,20230207,20230207
KCDCIO22N000000047,문화시설,문화시설_보호구역,신오리 경로당,47,경상북도,47250,상주시,4725033036,신오리,4.72505E+11,경상북도 상주시 낙동면 신오2길 8,경상북도 상주시 낙동면 신오리 899-1,"8 Sino 2-gil, Nakdong-myeon, Sangju-si, Gyeongsangbuk-do",4725033036,,4.72503E+24,054-537-7548,37253,,36.3281010,128.2138935,공공데이터,,20230207,20230207
KCDCIO22N000000048,문화시설,문화시설_보호구역,수봉1리 경로당,47,경상북도,47250,상주시,4725038030,수봉리,4.72503E+11,경상북도 상주시 모동면 중화로 178,경상북도 상주시 모동면 수봉리 284-1,"178 Junghwa-ro, Modong-myeon, Sangju-si, Gyeongsangbuk-do",4725038030,,4.72504E+24,054-537-7548,37274,,36.2876481,127.9439620,공공데이터,,20230207,20230207
KCDCIO22N000000049,문화시설,문화시설_보호구역,상촌2리 백두점 경로당,47,경상북도,47250,상주시,4725033029,화산리,4.72505E+11,경상북도 상주시 낙동면 백두점길 47-1,경상북도 상주시 낙동면 화산리 42-3,"47-1 Baekdujeom-gil, Nakdong-myeon, Sangju-si, Gyeongsangbuk-do",4725033029,,4.72503E+24,054-537-7548,37249,,36.3882180,128.2568780,공공데이터,,20230207,20230207
KCDCIO22N000000050,문화시설,문화시설_보호구역,봉강리(새마) 경로당,47,경상북도,47250,상주시,4725043025,봉강리,4.72505E+11,경상북도 상주시 외서면 봉강1길 12,경상북도 상주시 외서면 봉강리 296,"12 Bonggang 1-gil, Oeseo-myeon, Sangju-si, Gyeongsangbuk-do",4725043025,,4.72504E+24,054-537-7548,37135,,36.4722262,128.1294596,공공데이터,,20230207,20230207
KCDCIO22N000000051,문화시설,문화시설_보호구역,예의1리 경로당,47,경상북도,47250,상주시,4725043032,예의리,4.72505E+11,경상북도 상주시 외서면 예의4길 26-12,경상북도 상주시 외서면 예의리 67-4,"26-12 Yeui 4-gil, Oeseo-myeon, Sangju-si, Gyeongsangbuk-do",4725043032,,4.72504E+24,054-537-7548,37133,,36.4882140,128.0036910,공공데이터,,20230207,20230207
KCDCIO22N000000052,문화시설,문화시설_보호구역,지토2리 노인회관,45,충청남도,45700,부여군,4476042028,지토리,4.47603E+11,충청남도 부여군 장암면 위덕로 309,충청남도 부여군 장암면 지토리 109-4,"309 Wideok-ro, Jangam-myeon, Buyeo-gun, Chungcheongnam-do",4476042028,,4.47604E+24,041-830-2358,33187,,36.2185568,126.9122424,공공데이터,,20230207,20230207
KCDCIO22N000000053,문화시설,문화시설_보호구역,청포2리 노인회관,45,충청남도,45700,부여군,4476043028,청포리,4.47605E+11,충청남도 부여군 세도면 부흥로750번길 9,충청남도 부여군 세도면 청포리 545-15,"9 Buheung-ro 750beon-gil, Sedo-myeon, Buyeo-gun, Chungcheongnam-do",4476043028,,4.47604E+24,041-830-2358,33230,,36.1661472,126.9619586,공공데이터,,20230207,20230207
KCDCIO22N000000054,문화시설,문화시설_보호구역,간대1리 노인회관,45,충청남도,45700,부여군,4476043026,간대리,4.47603E+11,충청남도 부여군 세도면 부흥로 545,충청남도 부여군 세도면 간대리 385-15,"545 Buheung-ro, Sedo-myeon, Buyeo-gun, Chungcheongnam-do",4476043026,,4.47604E+24,041-830-2358,33229,,36.1662039,126.9407852,공공데이터,,20230207,20230207
KCDCIO22N000000055,문화시설,문화시설_보호구역,정각리 노인회관,45,충청남도,45700,부여군,4476044025,정각리,4.47603E+11,충청남도 부여군 석성면 왕릉로 493,충청남도 부여군 석성면 정각리 40-1,"493 Wangneung-ro, Seokseong-myeon, Buyeo-gun, Chungcheongnam-do",4476044025,,4.47604E+24,041-830-2358,33176,,36.2647712,126.9855947,공공데이터,,20230207,20230207
KCDCIO22N000000056,문화시설,문화시설_보호구역,합곡1리 노인회관,45,충청남도,45700,부여군,4476042029,합곡리,4.47603E+11,충청남도 부여군 장암면 충절로 1720,충청남도 부여군 장암면 합곡리 304-1,"1720 Chungjeol-ro, Jangam-myeon, Buyeo-gun, Chungcheongnam-do",4476042029,,4.47604E+24,041-830-2358,33182,,36.2300876,126.8706191,공공데이터,,20230207,20230207
KCDCIO22N000000057,문화시설,문화시설_보호구역,노화1리 노인회관,45,충청남도,45700,부여군,4476031036,노화리,4.47605E+11,충청남도 부여군 규암면 흥수로529번길 19-1,충청남도 부여군 규암면 노화리 428-4,"19-1 Heungsu-ro 529beon-gil, Gyuam-myeon, Buyeo-gun, Chungcheongnam-do",4476031036,,4.47603E+24,041-830-2358,33119,,36.2622735,126.8420161,공공데이터,,20230207,20230207
KCDCIO22N000000058,문화시설,문화시설_보호구역,내성1리 노인회관,45,충청남도,45700,부여군,4476040022,내성리,4.47603E+11,충청남도 부여군 양화면 내성로 4,충청남도 부여군 양화면 내성리 128-6,"4 Naeseong-ro, Yanghwa-myeon, Buyeo-gun, Chungcheongnam-do",4476040022,,4.47604E+24,041-830-2358,33215,,36.1060335,126.8653234,공공데이터,,20230207,20230207
KCDCIO22N000000059,문화시설,문화시설_보호구역,복금3리 노인회관,45,충청남도,45700,부여군,4476039022,복금리,4.47603E+11,충청남도 부여군 충화면 가림로 320,충청남도 부여군 충화면 복금리 57-7 복금3리노인회관,"320 Garim-ro, Chunghwa-myeon, Buyeo-gun, Chungcheongnam-do",4476039022,복금3리노인회관,4.47604E+24,041-830-2358,33211,,36.1824681,126.8565045,공공데이터,,20230207,20230207
KCDCIO22N000000060,문화시설,문화시설_보호구역,회동3리 노인회관,45,충청남도,45700,부여군,4476038025,회동리,4.47603E+11,충청남도 부여군 남면 희망로 110,충청남도 부여군 남면 회동리 169-1,"110 Huimang-ro, Nam-myeon, Buyeo-gun, Chungcheongnam-do",4476038025,,4.47604E+24,041-830-2358,33209,,36.2025755,126.8057936,공공데이터,,20230207,20230207
KCDCIO22N000000061,문화시설,문화시설_보호구역,상황리 노인회관,45,충청남도,45700,부여군,4476042022,상황리,4.47605E+11,충청남도 부여군 장암면 위덕로527번길 66,충청남도 부여군 장암면 상황리 156,"66 Wideok-ro 527beon-gil, Jangam-myeon, Buyeo-gun, Chungcheongnam-do",4476042022,,4.47604E+24,041-830-2358,33186,,36.2235021,126.9365022,공공데이터,,20230207,20230207
KCDCIO22N000000062,문화시설,문화시설_보호구역,수신1리 노인회관,45,충청남도,45700,부여군,4476033029,수신리,4.47605E+11,충청남도 부여군 외산면 만수로신근남길 22,충청남도 부여군 외산면 수신리 114-1,"22 Mansu-ro singeunnam-gil, Oesan-myeon, Buyeo-gun, Chungcheongnam-do",4476033029,,4.47603E+24,041-830-2358,33100,,36.3625799,126.7377010,공공데이터,,20230207,20230207
KCDCIO22N000000063,문화시설,문화시설_보호구역,석성4리 노인회관,45,충청남도,45700,부여군,4476044021,석성리,4.47603E+11,충청남도 부여군 석성면 석성북로 21-5,충청남도 부여군 석성면 석성리 561 평천마을회관,"21-5 Seokseongbuk-ro, Seokseong-myeon, Buyeo-gun, Chungcheongnam-do",4476044021,평천마을회관,4.47604E+24,041-830-2358,33179,,36.2259768,126.9906020,공공데이터,,20230207,20230207
KCDCIO22N000000064,문화시설,문화시설_보호구역,가신3리 노인회관,45,충청남도,45700,부여군,4476041022,가신리,4.47603E+11,충청남도 부여군 임천면 팔충로 1222,충청남도 부여군 임천면 가신리 298-4,"1222 Palchung-ro, Imcheon-myeon, Buyeo-gun, Chungcheongnam-do",4476041022,,4.47604E+24,041-830-2358,33222,,36.1663807,126.8615055,공공데이터,,20230207,20230207
KCDCIO22N000000065,문화시설,문화시설_보호구역,간대3리 노인회관,45,충청남도,45700,부여군,4476043026,간대리,4.47603E+11,충청남도 부여군 세도면 세도중앙로 25-6,충청남도 부여군 세도면 간대리 135-28 간대3리마을회관,"25-6 Sedojungang-ro, Sedo-myeon, Buyeo-gun, Chungcheongnam-do",4476043026,간대3리마을회관,4.47604E+24,041-830-2358,33229,,36.1698792,126.9460064,공공데이터,,20230207,20230207
